id;route_length;decision points;condition;gender;age;how_often_use_gmaps;completion_time;errors;nasatlx;route_recall_turns;route_recall_directional_changes;Statement 1;Statement 2;Statement 3;Statement 4;Statement 5
1;1000;9;dot_navigation;Male;25;3;771;0;29.333333333333332;100;100;Dot navigation was really easy to use for me.;Because I can see an overview of the route, I did not have to look down on the phone too much. ;If there was a long, straight part of the route, I was able to focus on my surroundings instead of the phone. ;I very much prefer dot navigation to turn-by-turn navigation because you can see the start and the end of the route. ;If there was a unclear turn that I could hardly identify when overviewing the whole route, I could simply zoom in in order to find the right way to turn to, for example by identifying nearby shops. 
2;1050;9;dot_navigation;Male;28;4;768;0;33.666666666666664;100;100;The experience (turn-by-turn navigation) was pretty frustrating because I'm used to use the dot navigation.;I had to look down at my device all the time. This was also dangerous at some point, for example at the bus station where there were two buses and I was still looking down on my device.;Never really had an overview of where I was going to, so I always just saw the next steps which was quite confusing.;If there was a straight part of the route, you couldn't see where exactly the next turn was because the map was zoomed in. ;I would use it (turn-by-turn navigation) in my car but not when I'm walking, I think its really not the best way to navigate if you use it walking.
3;1000;7;guided_navigation;Male;27;3;734;0;16;85.7;85.7;The participant was familiar with the navigation technique (guided navigation).;The navigation method (guided navigation) improved, since the participant used it a few years ago. The participant always felt source that he is heading in the right direction.;The participant had no problems while navigating. At some point a car was parked on the route. But nevertheless the participant managed to follow the intended route.;Most of the time the participant uses the dot navigation method because he then sees the endpoint of the route. When you use to guided navigation you have to trust the app to lead you to the destination because you only see the next step.;The participant would you the guided navigation method in case he is not familiar with the environment. For example in a big city.
4;900;7;guided_navigation;Female;26;4;654;1;24.67;100;100;She prefers dot navigation because with the guided navigation she cannot have an overview of the whole road and it make most difficult to find the right path when she gets lost;The dot navigation is more intuitive ;She did a mistake because she was confusing because the road seems straight on the map, but it was not that straight in reality ;She corrected herself when she made the mistake because she saw that there were still 100 meters to go before turning right;Road easy to follow as there is not much traffic in the city 
5;1060;8;dot_navigation;Male;25;4;726;0;34.67;75;75;He's quite content about not making any errors, which he also didn't commit. Thus, he must be quite comfortable using this kind of navigation. He also regularly uses the app this way. ;"The route was considered easy to follow due to a longer path in the middle. Potentially, the ""stress points"" have been too close to each other. ";He thinks dot navigation is easier, because you have a sense of overall orientation as the complete route is visible on the map. Also he has more experience to use the app this way. Thus, it might explain why he didn't commit any errors while walking. ;In the beginning he had some issues to orientate himself to find the correct direction to start to walk. This might not have happened with the other navigation method, because it is pointed out very obviously. Sometimes the zoom function had to be used to get a closer look at the route. This way the dot navigation method becomes more like the turn navigation method, which could impact the collected data. ;He has already been familiar with the surroundings and usually uses the dot navigation in these settings. Thus, in a completely unfamiliar environment he would have had more problems to navigate.
6;1000;9;guided_navigation;Male;26;4;662;1;20.666666666666664;100;100;I was a little confused, sometimes the pointer would point in the wrong direction.;When I use google map I usually use the dot navigation.; I made a mistake, I followed a path that more or less went in the right direction, but there being two and not paying enough attention I chose the wrong one.;I was looking too far ahead on the road and not paying enough attention to where I really was.;I prefer spot navigation. So knowing where to go and just having hints from the map. If I take a wrong turn I don't care, I can correct myself knowing what my final destination is.
7;1000;8;dot_navigation;Male;25;4;652;0;25.67;0.625;0.6;I usually hold my phone in my hands when navigating, but because of the cold, I kept it in my pocket as much as possible. ;The GPS pointer jumped onto a building, so I thought I took the wrong route. In the end, it turned out to just be a GPS issue. ;I really like and prefer the dot navigation over others. I have control over where I am and can move and zoom to my position. ;I usually turn and move the map in my walking direction. ;I always use the dot navigation when I walk. However, not in situations where I cannot move on the map e.g. cycling/driving. 
8;1000;9;guided_navigation;Male;22;4;666;0;31.3333333;100;100;Route was manageable with navigation.;Some issues with navigation method, GPS did not work well and therefore visuals were off.;Do not like navigation because needed to hold phone in hand, so those got really cold.;Navigation did not work in realtime because of missing GPS sometimes, but did not hinder from walking the route.;Would not use it, prefers dotted navigation for personal use, as this gives him overview over total route.
9;1001;9;guided_navigation;Male;23;4;737;1;15.33;75;100;I'd say we were very lucky with the weather and had a nice stroll. ;I use the guided navigation, and I found a bit difficult at times because it kept turning on the screen in a direction, which wasn't really most beneficial to my route.;"Yeah, I mean since the weather is pretty cold right now and my shoes are not the most robust at the moment, 
it was a bit slippery at times but I think mostly it was fine.";Yeah I think outside of the experiment, I wouldn't really use it [Guided Navigation], at least not for walking roads. ;I would use it [Guided Navigation] when I'm on my motorcycle, for example.
10;950;7;dot_navigation;Male;25;4;866;1;22.33;85.7;80;The participant stated that the starting point of the route was unknown to him.;The participant stated that he was missing reminders of upcoming turns during the navigation.;The participant stated that he already knew the area (i.e., downtown St. Gallen).;The participant stated that he sometimes was distracted by environmental factors (e.g., Christmas market, approaching truck).;The participant would not use dot navigation while hiking due to longer distances between turns or jogging because he has to concentrate on jogging (not in the audio file, follow-up question).
